source,keyword,posted_date,scraped_at,title,company,location,country,salary,url,job_id,description_snippet
jobstreet,Malaysia-ML,2026-09-07,2026-09-07T06:01:50.725589,Machine Learning Platform Engineer (Remote),,"Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94121174?type=standard&ref=search-standalone&origin=cardTitle,94121174,
jobstreet,Malaysia-ML,2026-09-07,2026-09-07T06:01:50.614565,AI Data Engineer,,"Taman Desa Cemerlang, Johor, MY",Malaysia,,https://id.jobstreet.com/id/job/93926915?type=standard&ref=search-standalone&origin=cardTitle,93926915,
jobstreet,Malaysia-ML,2026-09-07,2026-09-07T06:01:50.042139,Algorithm / Machine Learning Engineer (Junior to Senior),,"Bandar Malaysia, Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94051238?type=standard&ref=search-standalone&origin=cardTitle,94051238,
jobstreet,Malaysia-ML,2026-09-07,2026-09-07T06:01:49.748618,Machine Learning Engineer (ML & ML Ops),,"Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94352486?type=standard&ref=search-standalone&origin=cardTitle,94352486,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:22.200340,AI Engineer,,"Bangsar South, Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94093278?type=standard&ref=search-standalone&origin=cardTitle,94093278,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:22.163363,AI Solution Engineer,,"Taman Desa Cemerlang, Johor, MY",Malaysia,,https://id.jobstreet.com/id/job/93927038?type=standard&ref=search-standalone&origin=cardTitle,93927038,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:22.117341,AI & Software Engineer,,"Petaling Jaya, Selangor, MY",Malaysia,,https://id.jobstreet.com/id/job/94271304?type=standard&ref=search-standalone&origin=cardTitle,94271304,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:22.062343,AI SOFTWARE ENGINEER,,"Bandar Puteri Puchong, Selangor, MY",Malaysia,,https://id.jobstreet.com/id/job/94211372?type=standard&ref=search-standalone&origin=cardTitle,94211372,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:22.006362,AI Engineer (Mandarin Speaker),,"Bangsar South, Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94049785?type=standard&ref=search-standalone&origin=cardTitle,94049785,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.966345,AI Engineer,,"Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/93834163?type=standard&ref=search-standalone&origin=cardTitle,93834163,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.927342,Senior Data & AI Engineer (AWS),,"Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94353328?type=standard&ref=search-standalone&origin=cardTitle,94353328,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.869335,Conversational AI Engineer (RAG & Mobile Integration),,"Kuala Lumpur City Centre, Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94289578?type=standard&ref=search-standalone&origin=cardTitle,94289578,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.806365,AI Engineer (Fresh Graduate),,"Cyberjaya, Selangor, MY",Malaysia,,https://id.jobstreet.com/id/job/94391141?type=standard&ref=search-standalone&origin=cardTitle,94391141,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.747355,"Engineer, Software // Artificial Intelligence (AI)",,"Meru, Selangor, MY",Malaysia,,https://id.jobstreet.com/id/job/94054724?type=standard&ref=search-standalone&origin=cardTitle,94054724,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.697048,Graduate AI Engineer,,"Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/93911284?type=standard&ref=search-standalone&origin=cardTitle,93911284,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.654047,Associate Engineer - Data Development - Fresher required,,"Bangsar South, Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94138903?type=standard&ref=search-standalone&origin=cardTitle,94138903,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.598067,AI Implementation Engineer,,"Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94445971?type=standard&ref=search-standalone&origin=cardTitle,94445971,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.545048,AI Software R&D Engineer,,"Kuala Lumpur, MY",Malaysia,,https://id.jobstreet.com/id/job/94414491?type=standard&ref=search-standalone&origin=cardTitle,94414491,
jobstreet,Malaysia-AI,2026-09-07,2026-09-07T06:01:21.483042,AI Engineer,,"Penang, MY",Malaysia,,https://id.jobstreet.com/id/job/94364916?type=standard&ref=search-standalone&origin=cardTitle,94364916,
